"date","spy","btc"
2023-11-01,0,0
2023-11-02,-0.014181643038139,0.0189831652728887
2023-11-03,-0.0059112069551452,0.00908190579752039
2023-11-04,0.0100229586936839,NA
2023-11-05,-0.00093652131699398,NA
2023-11-06,-0.000341987012508487,0.00229781453449067
2023-11-07,0.0115264053036003,0.00284197098238353
2023-11-08,0.00595552529347527,0.000732144205945098
2023-11-09,0.0286922398244658,-0.00782925369164029
2023-11-10,0.016778346050334,0.0154842221892148
2023-11-11,-0.00472568231840784,NA
2023-11-12,-0.00225174259208208,NA
2023-11-13,-0.0150135370550292,-0.000953619241839819
2023-11-14,-0.0267843578397946,0.0192148741563862
2023-11-15,0.0638461992762784,0.00211489415085612
2023-11-16,-0.0466297561906654,0.00122231992837752
2023-11-17,0.0121487469666794,0.00124305116927918
2023-11-18,-0.000300085015663709,NA
2023-11-19,0.0216533913915043,NA
2023-11-20,0.00241533445499477,0.00766823610142017
2023-11-21,-0.0453926219219484,-0.00218188214399684
2023-11-22,0.0442013894678363,0.00385344711938505
2023-11-23,-0.00381999941543391,NA
2023-11-24,0.0114828809236325,0.000615038360239442
2023-11-25,0.00202634293560016,NA
2023-11-26,-0.00844024984109134,NA
2023-11-27,-0.00602017674392167,-0.00180244003726037
2023-11-28,0.0153673136112338,0.000989576344446283
2023-11-29,0.000724175028494842,-0.000703611906775835
2023-11-30,-0.00385718899847248,0.00392970860765039
2023-12-01,0.0255507301146282,0.00589852495995294
2023-12-02,0.0201524431387205,NA
2023-12-03,0.0126377705204897,NA
2023-12-04,0.0488565668865633,-0.00526327224015482
2023-12-05,0.04882523455973,-0.000197101849333469
2023-12-06,-0.00761051570339849,-0.00403791736646694
2023-12-07,-0.0104271600369865,0.0076014097315196
2023-12-08,0.0199856832348002,0.0042898914264353
2023-12-09,-0.010026349184728,NA
2023-12-10,0.00122768826642268,NA
2023-12-11,-0.059668646696837,0.0038820674912714
2023-12-12,0.00499167816429234,0.00455682745096518
2023-12-13,0.0341627495710369,0.0136957946121741
2023-12-14,0.00310146115920395,0.00320433770509697
2023-12-15,-0.0257616788095846,-0.00164788694095898
2023-12-16,0.00737462854915856,NA
2023-12-17,-0.0209434224084723,NA
2023-12-18,0.0299796695117896,0.00560927831988449
2023-12-19,-0.00831657071861527,0.00606251010706706
2023-12-20,0.0321647372447505,-0.0139542363949366
2023-12-21,0.00495656564004861,0.00943727027845444
2023-12-22,0.00293056578719485,0.00200768996357978
2023-12-23,-0.00588939239897776,NA
2023-12-24,-0.0166777025964808,NA
2023-12-25,0.0137836316469731,NA
2023-12-26,-0.0253744795398312,0.00421364115070296
2023-12-27,0.0214623912043402,0.00180655731544775
2023-12-28,-0.0189384832630336,0.000377612700647508
2023-12-29,-0.0124743793520091,-0.00289927168493842
2023-12-30,0.00136488323668324,NA
2023-12-31,0.00256532895205514,NA
2024-01-01,0.0440216648373267,NA
2024-01-02,0.017742604013605,-0.00561197088581626
2024-01-03,-0.0480649535787553,-0.00820032867912059
2024-01-04,0.030607357718286,-0.00322627891180733
2024-01-05,-0.000390082845152692,0.00136882063432939
2024-01-06,-0.00393630412750998,NA
2024-01-07,-0.00104848080077612,NA
2024-01-08,0.0666242663558736,0.0141749512773818
2024-01-09,-0.0178454171064382,-0.00151823076022473
2024-01-10,0.0105220327519484,0.00563964664830943
2024-01-11,-0.00557424114752255,-0.000440813095255659
2024-01-12,-0.0788426288329937,0.000692544321167622
2024-01-13,-0.000251708664186649,NA
2024-01-14,-0.0247207753553582,NA
2024-01-15,0.0169785640464199,NA
2024-01-16,0.0150113645058065,-0.00367811565444782
2024-01-17,-0.00959971282586154,-0.00557422090068083
2024-01-18,-0.0352539060043805,0.00885358015947945
2024-01-19,0.00859912773807401,0.012389062769554
2024-01-20,0.00113298345354633,NA
2024-01-21,-0.00287943492455674,NA
2024-01-22,-0.0503089102812547,0.00211210241603433
2024-01-23,0.00852358425792219,0.00291232592441354
2024-01-24,0.00579370572798571,0.00109249267048227
2024-01-25,-0.00358115728949295,0.00542418729289526
2024-01-26,0.046076574494817,-0.00127124546256721
2024-01-27,0.00722411285539691,NA
2024-01-28,-0.00200725601730765,NA
2024-01-29,0.0293644157369146,0.00788822868613216
2024-01-30,-0.00778374498993584,-0.0007737825082095
2024-01-31,-0.00865155280904692,-0.0164519909611866
2024-02-01,0.0115148902942397,0.0130033013995185
2024-02-02,0.00255237453024436,0.010472386042063
2024-02-03,-0.00449324549215075,NA
2024-02-04,-0.00955108622874585,NA
2024-02-05,0.00176170753164793,-0.00364775510221755
2024-02-06,0.00993680470869925,0.00289899395077166
2024-02-07,0.0282286462102807,0.00830579655791859
2024-02-08,0.0219456712821148,0.000441716410231255
2024-02-09,0.0399329954084116,0.005762701798695
2024-02-10,0.0131499606950642,NA
2024-02-11,0.0108810642585839,NA
2024-02-12,0.0338814785316512,-0.000439053217676258
2024-02-13,-0.0043285887601175,-0.0138688202462887
2024-02-14,0.0410468495104089,0.00904660682746937
2024-02-15,0.00215600922910838,0.00687600278640416
2024-02-16,0.00425843260976156,-0.00499230163776901
2024-02-17,-0.00957802949778828,NA
2024-02-18,0.00885583428071376,NA
2024-02-19,-0.00661016369404654,NA
2024-02-20,0.00971967933731947,-0.00552067299031718
2024-02-21,-0.00856090431522995,0.000905372971055654
2024-02-22,-0.0103585476400143,0.0204843268866335
2024-02-23,-0.0112318061155126,0.000689405783188981
2024-02-24,0.0164055941302178,NA
2024-02-25,0.00313901336823693,NA
2024-02-26,0.0525111876569454,-0.0036692302736837
2024-02-27,0.0459362164404731,0.00185598055834334
2024-02-28,0.0906952929770429,-0.00132248053364573
2024-02-29,-0.0211224142700197,0.00358848338675364
2024-03-01,0.0200954657884248,0.00934434933812438
2024-03-02,-0.00660054731209119,NA
2024-03-03,0.0181722046590126,NA
2024-03-04,0.0785670808490068,-0.001072856688345
2024-03-05,-0.0685829818149203,-0.01004445187834
2024-03-06,0.0354997002008663,0.00505444147580805
2024-03-07,0.0123081400525154,0.00987742016935962
2024-03-08,0.020331312236988,-0.00602021589387295
2024-03-09,0.00290629663201919,NA
2024-03-10,0.00757582565720686,NA
2024-03-11,0.0439922985827463,-0.00086017441588475
2024-03-12,-0.00894983604934784,0.0106999362124425
2024-03-13,0.0221668990640754,-0.00156879097049588
2024-03-14,-0.0233524614583823,-0.00197873038968299
2024-03-15,-0.0283089232920006,-0.00689027922591211
2024-03-16,-0.0607177252062968,NA
2024-03-17,0.0460122407046103,NA
2024-03-18,-0.0123885075543686,0.00592556611263423
2024-03-19,-0.0871207318570082,0.00554186232328917
2024-03-20,0.092510852968774,0.0092067122536224
2024-03-21,-0.0363186742262133,0.0032993014484854
2024-03-22,-0.0264984466521593,-0.00189774948614791
2024-03-23,0.00443428866540001,NA
2024-03-24,0.0483270931506797,NA
2024-03-25,0.0397250476948794,-0.00276655778929523
2024-03-26,0.000414778606564033,-0.00184857325175227
2024-03-27,-0.00763744454295177,0.00836865507948593
2024-03-28,0.0183971899718809,-0.00019121050867545
2024-03-29,-0.0121181580122044,NA
2024-03-30,-0.00354775704868207,NA
2024-03-31,0.0239528586963025,NA
2024-04-01,-0.023137002333258,-0.00174123354891634
2024-04-02,-0.0629909043698857,-0.00637845687803318
2024-04-03,0.00812374307331999,0.00109783248260559
2024-04-04,0.0375988627118614,-0.0122811998976887
2024-04-05,-0.00984563041828857,0.0103927926357813
2024-04-06,0.015482496362565,NA
2024-04-07,0.0067474553636263,NA
2024-04-08,0.0321857940970219,0.000559058803395729
2024-04-09,-0.0354137612037884,0.00115632600935981
2024-04-10,0.0207393012425347,-0.0100637159943293
2024-04-11,-0.00749778258451207,0.00751842754095547
2024-04-12,-0.0417489701814347,-0.0138991114535978
2024-04-13,-0.0515220497152344,NA
2024-04-14,0.0295985014949587,NA
2024-04-15,-0.0358109994965086,-0.0126072547950314
2024-04-16,0.00606192017722891,-0.00182550190231887
2024-04-17,-0.0405395853499449,-0.0059358349160876
2024-04-18,0.0358412020861477,-0.00205974653500727
2024-04-19,0.00519514287691221,-0.0087666773864664
2024-04-20,0.0178658718865042,NA
2024-04-21,-0.0010436624765666,NA
2024-04-22,0.0290089017592759,0.00916689923403525
2024-04-23,-0.0064603984899146,0.0117968682532807
2024-04-24,-0.032606301316272,-0.000474860633517688
2024-04-25,0.00318128276919178,-0.00380603694132644
2024-04-26,-0.0113289352190161,0.00942929886399477
2024-04-27,-0.00528691795635665,NA
2024-04-28,-0.00483529629015439,NA
2024-04-29,0.0114670917875564,0.00353512111766372
2024-04-30,-0.0514946297165421,-0.0159680453834262
2024-05-01,-0.0400899234806572,-0.00325237867697205
2024-05-02,0.0148143925496978,0.00930990665347879
2024-05-03,0.0617572064982481,0.0123191506920982
2024-05-04,0.0158013443890476,NA
2024-05-05,0.00218351105696474,NA
2024-05-06,-0.0136673647637241,0.0102738535635626
2024-05-07,-0.0131819299956467,0.00110289462503722
2024-05-08,-0.0185699862584938,0.0000966460166696146
2024-05-09,0.0299773086041791,0.00574516428081993
2024-05-10,-0.0364564546354889,0.00128745142178995
2024-05-11,0.0000153568667573041,NA
2024-05-12,0.0107113641527938,NA
2024-05-13,0.0233714942378763,0.00013432876678494
2024-05-14,-0.0216740381115794,0.00457756154922932
2024-05-15,0.0738042976614985,0.0123070248126437
2024-05-16,-0.0157557243971512,-0.00205974965733439
2024-05-17,0.0275228349050477,0.0014366928015536
2024-05-18,-0.00165785680529221,NA
2024-05-19,-0.0099451595532183,NA
2024-05-20,0.0751090888252984,0.00115143533158342
2024-05-21,-0.0185288571822953,0.00244960208124223
2024-05-22,-0.014565869510185,-0.00288364030336135
2024-05-23,-0.0174065965877577,-0.00733102589805312
2024-05-24,0.00874339466804794,0.00659460700606428
2024-05-25,0.0107386583854286,NA
2024-05-26,-0.0108555230580381,NA
2024-05-27,0.0127105489937594,NA
2024-05-28,-0.0159539990459575,0.000698636923510824
2024-05-29,-0.0105705290938478,-0.0070271010066555
2024-05-30,0.0115770099062722,-0.00665600163524223
2024-05-31,-0.0128604927708057,0.00906708478708499
2024-06-01,0.00318825810485505,NA
2024-06-02,0.000659449960522585,NA
2024-06-03,0.0154251386581296,0.000814928747086863
2024-06-04,0.0253002252489254,0.00111726718984618
2024-06-05,0.00727221781660282,0.0118151001040591
2024-06-06,-0.00459189027201765,-0.0000187197994266453
2024-06-07,-0.0201945570798921,-0.0012164915194571
2024-06-08,-0.000531019638905005,NA
2024-06-09,0.00492565912658922,NA
2024-06-10,-0.00195042704602312,0.00308511419656679
2024-06-11,-0.0318673749178796,0.00240549995956429
2024-06-12,0.013412234174301,0.00817923223463992
2024-06-13,-0.0219981554211618,0.00201147712991649
2024-06-14,-0.0112273344053877,0.000608358799671349
2024-06-15,0.00272168701648599,NA
2024-06-16,0.00674619312119944,NA
2024-06-17,-0.00223466979873362,0.00792732574480356
2024-06-18,-0.020505771883152,0.00253741585532775
2024-06-19,-0.00277398751532668,NA
2024-06-20,-0.00202853427771228,-0.00272014848595186
2024-06-21,-0.011362664075991,-0.00134162956614949
2024-06-22,0.00243678182007824,NA
2024-06-23,-0.0168214413620001,NA
2024-06-24,-0.0470429339934126,-0.00325583981275645
2024-06-25,0.0250209785898576,0.00384345785883267
2024-06-26,-0.0162031982640604,0.0012472448540341
2024-06-27,0.0129645478634577,0.00157521673920352
2024-06-28,-0.0210738120086118,-0.00394281795753946
2024-06-29,0.00935992006469257,NA
2024-06-30,0.028989272731725,NA
2024-07-01,0.0027672625269043,0.00205596422121913
2024-07-02,-0.0131801760562907,0.00670727323352191
2024-07-03,-0.0303632025066166,0.00445272000578657
2024-07-04,-0.0545790489543486,NA
2024-07-05,-0.00554960784075204,0.00574973477445494
2024-07-06,0.0285523856250875,NA
2024-07-07,-0.0430092171893191,NA
2024-07-08,0.015210533790654,0.00115344503681844
2024-07-09,0.0227379641121489,0.00097185796974417
2024-07-10,-0.00460867336984687,0.00984661059196769
2024-07-11,-0.00690924597826881,-0.00865997881082083
2024-07-12,0.00962398455810418,0.00628787920040861
2024-07-13,0.0227530032425821,NA
2024-07-14,0.0259278502630056,NA
2024-07-15,0.0649986203949803,0.00274626721603541
2024-07-16,0.00349312978267319,0.00591254055201924
2024-07-17,-0.0151432424548232,-0.0141203308833133
2024-07-18,-0.0022597141603525,-0.00771448801715752
2024-07-19,0.0418794201096355,-0.00666271526177373
2024-07-20,0.00677494634833188,NA
2024-07-21,0.0146453753701437,NA
2024-07-22,-0.00838776669011285,0.0102572349994613
2024-07-23,-0.0248315035462847,-0.00156992178555907
2024-07-24,-0.00846219655757601,-0.0229233732936833
2024-07-25,0.00617761367994595,-0.00522393830777433
2024-07-26,0.0319399921931969,0.0111374654215747
2024-07-27,-0.00145479889613824,NA
2024-07-28,0.00650452563967065,NA
2024-07-29,-0.0212622456640867,0.00058757978222362
2024-07-30,-0.00930534623067328,-0.00507932184004952
2024-07-31,-0.0241834505774867,0.0161239004932032
2024-08-01,0.0113598461110432,-0.014262175302138
2024-08-02,-0.0622170138648715,-0.0187939241121603
2024-08-03,-0.0120394867920852,NA
