month,cost_usd_low,cost_usd_avg,cost_usd_median,cost_usd_high,daily_total_usd_low,monthly_total_usd_low,pct_of_payment_low,daily_total_usd_avg,monthly_total_usd_avg,pct_of_payment_avg,daily_total_usd_median,monthly_total_usd_median,pct_of_payment_median,daily_total_usd_high,monthly_total_usd_high,pct_of_payment_high,network,chain_type
2021-05,0.0595105456150379,0.06452879795751174,0.0650241125625,0.0683101102395833,5.95105456150379,178.5316368451137,59.5105456150379,6.452879795751174,193.5863938725352,64.52879795751173,6.50241125625,195.0723376875,65.0241125625,6.831011023958331,204.93033071874993,68.3101102395833,Arbitrum One,L2
2021-06,0.01672973632694,0.02969748197430056,0.027441570524091352,0.058546337121836,1.6729736326940001,50.189208980820005,16.72973632694,2.9697481974300564,89.09244592290169,29.697481974300562,2.744157052409135,82.32471157227405,27.441570524091354,5.8546337121836,175.639011365508,58.54633712183599,Arbitrum One,L2
2021-07,0.0180349924963486,0.02987506898675848,0.0275664630597162,0.0604092523571735,1.80349924963486,54.1049774890458,18.0349924963486,2.987506898675848,89.62520696027545,29.875068986758478,2.75664630597162,82.6993891791486,27.566463059716202,6.04092523571735,181.2277570715205,60.40925235717351,Arbitrum One,L2
2021-08,0.0426563001101656,0.10311339560231474,0.0877958456737513,0.2530231042178213,4.26563001101656,127.9689003304968,42.656300110165596,10.311339560231474,309.3401868069442,103.11339560231474,8.77958456737513,263.3875370212539,87.79584567375129,25.30231042178213,759.069312653464,253.0231042178213,Arbitrum One,L2
2021-09,0.101551153141945,0.25405229033369253,0.151491960563121,65.19928388663091,10.1551153141945,304.653459425835,101.55115314194501,25.405229033369253,762.1568710010775,254.0522903336925,15.1491960563121,454.475881689363,151.49196056312098,6519.928388663091,195597.85165989274,65199.2838866309,Arbitrum One,L2
2021-10,0.1343059128132174,0.23686038522085712,0.2012481584542593,0.4615941128887277,13.43059128132174,402.9177384396522,134.3059128132174,23.686038522085713,710.5811556625714,236.8603852208571,20.124815845425932,603.744475362778,201.24815845425928,46.15941128887277,1384.782338666183,461.5941128887277,Arbitrum One,L2
2021-11,0.2390944936469567,0.3565193828168192,0.3492761209482169,0.4835855492784511,23.90944936469567,717.2834809408702,239.0944936469567,35.65193828168192,1069.5581484504576,356.5193828168192,34.92761209482169,1047.8283628446507,349.27612094821694,48.35855492784511,1450.7566478353533,483.585549278451,Arbitrum One,L2
2021-12,0.1454721992741064,0.21915341502077576,0.1952373483019142,1.5644267287533524,14.54721992741064,436.4165978223192,145.4721992741064,21.915341502077577,657.4602450623273,219.15341502077575,19.52373483019142,585.7120449057426,195.23734830191418,156.44267287533523,4693.280186260057,1564.4267287533523,Arbitrum One,L2
2022-01,0.1654572782372618,0.27200704962813715,0.2425113143647527,10.907357344657568,16.545727823726182,496.3718347117855,165.4572782372618,27.200704962813717,816.0211488844116,272.0070496281371,24.25113143647527,727.5339430942581,242.51131436475268,1090.7357344657567,32722.072033972698,10907.357344657567,Arbitrum One,L2
2022-02,0.0778988880902352,0.14308084762159218,0.12864765243967258,0.2565734813648472,7.78988880902352,233.69666427070558,77.89888809023519,14.308084762159218,429.24254286477657,143.08084762159217,12.864765243967257,385.9429573190177,128.64765243967258,25.65734813648472,769.7204440945417,256.57348136484717,Arbitrum One,L2
2022-03,0.0395632747206595,0.11218358021701079,0.0724727309641609,55.25393402274023,3.95632747206595,118.68982416197849,39.5632747206595,11.218358021701079,336.55074065103236,112.18358021701079,7.24727309641609,217.4181928924827,72.4727309641609,5525.393402274023,165761.80206822068,55253.93402274023,Arbitrum One,L2
2022-04,0.0558752002178765,0.10075356356942604,0.09093117729260819,0.2512650249216874,5.58752002178765,167.6256006536295,55.8752002178765,10.075356356942605,302.26069070827816,100.75356356942603,9.093117729260818,272.79353187782453,90.93117729260818,25.12650249216874,753.7950747650622,251.26502492168737,Arbitrum One,L2
2022-05,0.0183931445397951,0.09235196653042406,0.0473698505600012,9.146823299974026,1.83931445397951,55.1794336193853,18.3931445397951,9.235196653042406,277.0558995912722,92.35196653042405,4.736985056000121,142.10955168000362,47.369850560001204,914.6823299974026,27440.46989992208,9146.823299974025,Arbitrum One,L2
2022-06,0.0162508533744443,0.2004725585387788,0.0437775255161668,18.72104185298656,1.62508533744443,48.7525601233329,16.2508533744443,20.04725585387788,601.4176756163364,200.47255853877877,4.37775255161668,131.3325765485004,43.7775255161668,1872.104185298656,56163.12555895968,18721.04185298656,Arbitrum One,L2
2022-07,0.0072643235640812,0.02285023140576733,0.0177514138178086,1.8538839759100816,0.72643235640812,21.7929706922436,7.264323564081199,2.285023140576733,68.550694217302,22.850231405767328,1.77514138178086,53.2542414534258,17.751413817808597,185.38839759100816,5561.651927730245,1853.8839759100813,Arbitrum One,L2
2022-08,0.0057163094536921,0.03575627907838001,0.0142328571383299,23.185627438808663,0.57163094536921,17.1489283610763,5.716309453692099,3.575627907838001,107.26883723514004,35.75627907838001,1.42328571383299,42.6985714149897,14.2328571383299,2318.562743880866,69556.88231642598,23185.62743880866,Arbitrum One,L2
2022-09,0.0083592550347222,0.00971713223131632,0.0097614169791666,0.0718208822272048,0.83592550347222,25.077765104166602,8.3592550347222,0.971713223131632,29.15139669394896,9.71713223131632,0.9761416979166601,29.284250937499802,9.761416979166599,7.18208822272048,215.4626466816144,71.82088222720479,Arbitrum One,L2
2022-10,0.0082792251388888,0.008887500684895385,0.0085801290972222,0.0254933900476666,0.8279225138888799,24.8376754166664,8.2792251388888,0.8887500684895385,26.662502054686154,8.887500684895384,0.85801290972222,25.7403872916666,8.580129097222198,2.54933900476666,76.48017014299981,25.493390047666598,Arbitrum One,L2
2022-11,0.0072190595659722,0.008525617617091441,0.00799819651041665,0.0280808645961458,0.72190595659722,21.6571786979166,7.219059565972199,0.8525617617091441,25.576852851274325,8.525617617091442,0.7998196510416651,23.994589531249954,7.9981965104166495,2.80808645961458,84.2425937884374,28.080864596145798,Arbitrum One,L2
2022-12,0.0076644996006944,0.008068524375020316,0.0079909968576388,0.0266342483376441,0.76644996006944,22.9934988020832,7.664499600694399,0.8068524375020316,24.205573125060948,8.068524375020315,0.79909968576388,23.9729905729164,7.990996857638801,2.66342483376441,79.9027450129323,26.634248337644095,Arbitrum One,L2
2023-01,0.0077833940798611,0.009549758109523602,0.0099916607465277,0.0775745215102812,0.77833940798611,23.3501822395833,7.7833940798611,0.9549758109523602,28.649274328570804,9.549758109523601,0.99916607465277,29.9749822395831,9.9916607465277,7.75745215102812,232.7235645308436,77.57452151028119,Arbitrum One,L2
2023-02,0.0097408469618055,0.013821755680089767,0.01063872423611105,1.278256654337542,0.97408469618055,29.2225408854165,9.7408469618055,1.3821755680089767,41.4652670402693,13.821755680089767,1.063872423611105,31.91617270833315,10.638724236111049,127.8256654337542,3834.769963012626,1278.256654337542,Arbitrum One,L2
2023-03,0.0091876861284722,0.024570463034268658,0.0110837340972222,1.7186680613411562,0.91876861284722,27.5630583854166,9.1876861284722,2.457046303426866,73.71138910280598,24.57046303426866,1.10837340972222,33.2512022916666,11.0837340972222,171.86680613411562,5156.004184023469,1718.668061341156,Arbitrum One,L2
2023-04,0.0116913863715277,0.02736086344221995,0.0123384846180555,4.318829692385565,1.16913863715277,35.074159114583104,11.691386371527699,2.736086344221995,82.08259032665985,27.36086344221995,1.2338484618055499,37.015453854166495,12.3384846180555,431.8829692385565,12956.489077156695,4318.829692385564,Arbitrum One,L2
2023-05,0.0115501248958333,0.01512744181789068,0.0118939096701388,0.8203572349171874,1.15501248958333,34.6503746874999,11.5501248958333,1.512744181789068,45.382325453672046,15.12744181789068,1.18939096701388,35.681729010416404,11.8939096701388,82.03572349171874,2461.0717047515623,820.3572349171873,Arbitrum One,L2
2023-06,0.0107238245833333,0.014298864796231247,0.0120189739583333,1.4579715157200095,1.07238245833333,32.1714737499999,10.7238245833333,1.4298864796231248,42.89659438869374,14.298864796231248,1.20189739583333,36.0569218749999,12.0189739583333,145.79715157200096,4373.914547160029,1457.9715157200094,Arbitrum One,L2
2023-07,0.0120678444791666,0.012447925404612115,0.0122910808854166,0.1005063139765208,1.20678444791666,36.2035334374998,12.067844479166599,1.2447925404612115,37.34377621383634,12.447925404612114,1.22910808854166,36.8732426562498,12.2910808854166,10.05063139765208,301.5189419295624,100.50631397652079,Arbitrum One,L2
2023-08,0.0107139111805555,0.013743139824052284,0.0118463120659722,1.6765589997298598,1.07139111805555,32.1417335416665,10.7139111805555,1.3743139824052284,41.22941947215685,13.743139824052284,1.18463120659722,35.5389361979166,11.8463120659722,167.655899972986,5029.67699918958,1676.5589997298598,Arbitrum One,L2
2023-09,0.0102861339930555,0.010644731860184907,0.010595011397569399,0.0543527954622656,1.02861339930555,30.858401979166498,10.286133993055499,1.0644731860184906,31.934195580554718,10.644731860184907,1.0595011397569398,31.785034192708196,10.595011397569397,5.43527954622656,163.05838638679683,54.352795462265604,Arbitrum One,L2
2023-10,0.0100543527951388,0.011784396780225847,0.0106256876736111,0.5826854526826666,1.00543527951388,30.1630583854164,10.054352795138799,1.1784396780225848,35.35319034067754,11.784396780225846,1.06256876736111,31.877063020833297,10.625687673611099,58.26854526826666,1748.0563580479998,582.6854526826666,Arbitrum One,L2
2023-11,0.0117356299305555,0.01318008763250583,0.0131368613368055,0.2923823318639844,1.17356299305555,35.2068897916665,11.735629930555499,1.318008763250583,39.54026289751749,13.18008763250583,1.3136861336805499,39.4105840104165,13.1368613368055,29.23823318639844,877.1469955919532,292.38233186398435,Arbitrum One,L2
2023-12,0.0135787414930555,0.0197256608265184,0.0147606297222222,1.2574314262318385,1.35787414930555,40.736224479166495,13.5787414930555,1.97256608265184,59.1769824795552,19.7256608265184,1.47606297222222,44.2818891666666,14.760629722222198,125.74314262318384,3772.2942786955155,1257.4314262318383,Arbitrum One,L2
2024-01,0.0144125637499999,0.017370844992793483,0.0150893401388888,3.3163694149159846,1.44125637499999,43.2376912499997,14.412563749999899,1.7370844992793484,52.11253497838045,17.370844992793483,1.50893401388888,45.2680204166664,15.089340138888799,331.63694149159846,9949.108244747953,3316.3694149159846,Arbitrum One,L2
2024-02,0.0148238769791666,0.018284378959888697,0.0180712517013889,0.9298895693047188,1.48238769791666,44.471630937499796,14.8238769791666,1.8284378959888696,54.85313687966609,18.284378959888695,1.8071251701388897,54.213755104166694,18.071251701388896,92.98895693047187,2789.668707914156,929.8895693047187,Arbitrum One,L2
2024-03,0.0021379235763888,0.017366491455547462,0.0223573999999999,1.735309881704254,0.21379235763888,6.4137707291664,2.1379235763887996,1.7366491455547461,52.09947436664238,17.36649145554746,2.23573999999999,67.0721999999997,22.357399999999895,173.53098817042542,5205.929645112763,1735.309881704254,Arbitrum One,L2
2024-04,0.0019709267951388,0.009117016646198264,0.0020826346501345502,3.948004713387326,0.19709267951388,5.9127803854164,1.9709267951387999,0.9117016646198264,27.35104993859479,9.117016646198262,0.20826346501345502,6.247903950403651,2.0826346501345503,394.8004713387326,11844.014140161979,3948.004713387326,Arbitrum One,L2
2024-05,0.0018932245538194,0.0041909120282543995,0.002024325855851,0.6270950261206539,0.18932245538194,5.6796736614582,1.8932245538194,0.41909120282543993,12.572736084763198,4.190912028254399,0.2024325855851,6.072977567553,2.024325855851,62.70950261206539,1881.2850783619617,627.0950261206539,Arbitrum One,L2
2024-06,0.0021759965815972,0.021806896346157265,0.0023066048055555,8.070046700322319,0.21759965815972,6.5279897447916,2.1759965815971998,2.1806896346157267,65.4206890384718,21.806896346157263,0.23066048055555002,6.919814416666501,2.3066048055555,807.0046700322318,24210.140100966957,8070.046700322318,Arbitrum One,L2
2024-07,0.0019232587743055,0.004262064139894136,0.0021415705277777,1.2239059171377231,0.19232587743055002,5.769776322916501,1.9232587743054999,0.42620641398941356,12.786192419682406,4.262064139894135,0.21415705277777003,6.424711583333101,2.1415705277777,122.39059171377231,3671.7177514131695,1223.905917137723,Arbitrum One,L2
2024-08,0.0015427114444444,0.00854865312313382,0.001706436934447,5.345461832432799,0.15427114444443998,4.6281343333331995,1.5427114444443997,0.854865312313382,25.64595936940146,8.548653123133821,0.1706436934447,5.119310803341,1.706436934447,534.54618324328,16036.385497298399,5345.4618324327985,Arbitrum One,L2
2024-09,0.0014780757152777,0.002861564025012517,0.00159815574479165,0.9298888812203996,0.14780757152777,4.4342271458331,1.4780757152777,0.2861564025012517,8.58469207503755,2.861564025012517,0.159815574479165,4.79446723437495,1.59815574479165,92.98888812203995,2789.6666436611986,929.8888812203994,Arbitrum One,L2
2024-10,0.0015340015572916,0.0029982082664611292,0.0016334995173611,0.5650123027420266,0.15340015572916,4.6020046718748,1.5340015572915997,0.2998208266461129,8.994624799383388,2.998208266461129,0.16334995173611,4.9004985520833,1.6334995173610998,56.50123027420266,1695.03690822608,565.0123027420266,Arbitrum One,L2
2024-11,0.0015820687864583,0.0051352434337890865,0.00205110565806565,0.3788403724997667,0.15820687864583,4.7462063593748995,1.5820687864582998,0.5135243433789086,15.405730301367258,5.135243433789086,0.20511056580656498,6.153316974196949,2.0511056580656497,37.88403724997667,1136.5211174993,378.8403724997667,Arbitrum One,L2
2024-12,0.0021653489947916,0.011726344222836778,0.0025289934131944,4.312877026854356,0.21653489947916,6.4960469843748,2.1653489947915996,1.1726344222836778,35.17903266851033,11.726344222836778,0.25289934131944,7.586980239583199,2.5289934131944,431.28770268543565,12938.63108056307,4312.877026854356,Arbitrum One,L2
2025-01,0.0020302658142361,0.007596809871206406,0.0021594888161463,0.765930751746469,0.20302658142361,6.0907974427083,2.0302658142360994,0.7596809871206406,22.790429613619217,7.596809871206406,0.21594888161463,6.478466448438899,2.1594888161463,76.5930751746469,2297.792255239407,765.9307517464689,Arbitrum One,L2
2025-02,0.0014169751284722,0.011284297302859117,0.00176736269531245,3.7452956897445375,0.14169751284722,4.2509253854166,1.4169751284721999,1.1284297302859116,33.85289190857735,11.284297302859116,0.176736269531245,5.30208808593735,1.7673626953124497,374.52956897445375,11235.887069233613,3745.2956897445374,Arbitrum One,L2
2025-03,0.0011817623593749,0.006087591338565467,0.0013089958999693,0.8466603981830586,0.11817623593748999,3.5452870781246997,1.1817623593748998,0.6087591338565467,18.2627740156964,6.087591338565467,0.13089958999693,3.9269876999078996,1.3089958999692999,84.66603981830586,2539.981194549176,846.6603981830585,Arbitrum One,L2
2025-04,0.0009851806249999,0.006451407785812469,0.00116162917141265,1.168108029724612,0.09851806249999,2.9555418749997,0.9851806249998998,0.6451407785812469,19.354223357437405,6.451407785812469,0.116162917141265,3.48488751423795,1.16162917141265,116.8108029724612,3504.324089173836,1168.108029724612,Arbitrum One,L2
