Date,Price,Open,High,Low,Vol.,Change %
11/24/2010,2.2136,2.132,2.2224,2.131,25.98K,3.72%
11/26/2010,2.2103,2.2149,2.23,2.1984,5.68K,-0.15%
11/29/2010,2.2846,2.2136,2.2854,2.2103,32.13K,3.36%
11/30/2010,2.2652,2.2811,2.2821,2.2306,15.39K,-0.85%
12/1/2010,2.3004,2.1848,2.3069,2.1848,69.30K,1.55%
12/2/2010,2.3553,2.3007,2.3616,2.2942,58.35K,2.39%
12/3/2010,2.3521,2.35,2.3647,2.327,54.04K,-0.14%
12/6/2010,2.3417,2.3524,2.3699,2.3262,46.84K,-0.44%
12/7/2010,2.323,2.3321,2.3625,2.304,54.86K,-0.80%
12/8/2010,2.3046,2.3124,2.327,2.2764,58.51K,-0.79%
12/9/2010,2.3405,2.315,2.3617,2.3,71.51K,1.56%
12/10/2010,2.3093,2.3365,2.3467,2.2947,56.38K,-1.33%
12/13/2010,2.3184,2.3105,2.3562,2.3047,41.91K,0.39%
12/14/2010,2.2964,2.3105,2.3239,2.2863,39.81K,-0.95%
12/15/2010,2.3092,2.295,2.3184,2.2601,38.67K,0.56%
12/16/2010,2.3043,2.3092,2.3274,2.2964,37.13K,-0.21%
12/17/2010,2.3178,2.3043,2.3443,2.2945,39.72K,0.59%
12/20/2010,2.3778,2.3225,2.3798,2.3205,33.10K,2.59%
12/21/2010,2.3985,2.3725,2.4143,2.3725,27.19K,0.87%
12/22/2010,2.4245,2.4135,2.426,2.4073,28.34K,1.08%
12/23/2010,2.4426,2.4241,2.4458,2.415,17.99K,0.75%
12/27/2010,2.4209,2.439,2.4452,2.4063,12.44K,-0.89%
12/28/2010,2.4056,2.4156,2.4314,2.4025,19.01K,-0.63%
12/29/2010,2.3904,2.4078,2.4124,2.3865,20.31K,-0.63%
12/30/2010,2.3918,2.4042,2.4164,2.3673,16.28K,0.06%
12/31/2010,2.4532,2.3938,2.465,2.3869,4.95K,2.57%
1/3/2011,2.4273,2.4288,2.4671,2.4245,31.97K,-1.06%
1/4/2011,2.414,2.425,2.445,2.3747,53.09K,-0.55%
1/5/2011,2.4451,2.3991,2.4612,2.3688,51.83K,1.29%
1/6/2011,2.443,2.455,2.4739,2.4238,50.11K,-0.09%
1/7/2011,2.4131,2.448,2.4586,2.3945,46.74K,-1.22%
1/10/2011,2.4543,2.433,2.47,2.4126,47.84K,1.71%
1/11/2011,2.4784,2.4601,2.4883,2.435,48.35K,0.98%
1/12/2011,2.4631,2.4669,2.4808,2.4496,45.98K,-0.62%
1/13/2011,2.4459,2.4689,2.4731,2.4316,50.86K,-0.70%
1/14/2011,2.4946,2.4565,2.496,2.4493,32.10K,1.99%
1/18/2011,2.4792,2.4927,2.5078,2.4523,40.89K,-0.62%
1/19/2011,2.4816,2.4775,2.5011,2.4725,30.45K,0.10%
1/20/2011,2.4225,2.4799,2.4816,2.3975,35.90K,-2.38%
1/21/2011,2.4589,2.4233,2.4738,2.4225,22.74K,1.50%
1/24/2011,2.4132,2.4585,2.4751,2.4083,23.88K,-1.86%
1/25/2011,2.3427,2.411,2.4132,2.3414,21.64K,-2.92%
1/26/2011,2.4306,2.3544,2.442,2.3486,21.49K,3.75%
1/27/2011,2.3816,2.437,2.437,2.38,16.72K,-2.02%
1/28/2011,2.4568,2.3885,2.46,2.3869,19.51K,3.16%
1/31/2011,2.4906,2.4795,2.5025,2.435,7.85K,1.38%
2/1/2011,2.5194,2.498,2.5339,2.4837,40.22K,1.16%
2/2/2011,2.4985,2.518,2.5229,2.4873,53.26K,-0.83%
2/3/2011,2.5034,2.4942,2.5344,2.4895,46.39K,0.20%
2/4/2011,2.4353,2.5033,2.5188,2.429,54.07K,-2.72%
2/7/2011,2.4505,2.4415,2.4745,2.4353,44.41K,0.62%
2/8/2011,2.4942,2.4511,2.5125,2.4238,66.01K,1.78%
2/9/2011,2.526,2.4993,2.5331,2.4811,49.50K,1.27%
2/10/2011,2.4698,2.5319,2.548,2.4604,45.76K,-2.22%
2/11/2011,2.4652,2.49,2.5037,2.4573,37.44K,-0.19%
2/14/2011,2.5174,2.4925,2.5524,2.4774,40.01K,2.12%
2/15/2011,2.4888,2.5161,2.5342,2.462,45.12K,-1.14%
2/16/2011,2.5447,2.485,2.5484,2.485,42.79K,2.25%
2/17/2011,2.5277,2.5448,2.5554,2.5226,27.08K,-0.67%
2/18/2011,2.5513,2.5348,2.5683,2.4977,25.35K,0.93%
2/22/2011,2.6021,2.5637,2.681,2.5637,28.69K,1.99%
2/23/2011,2.7149,2.6171,2.7429,2.6045,27.67K,4.33%
2/24/2011,2.7167,2.7395,2.856,2.6878,24.66K,0.07%
2/25/2011,2.7395,2.7038,2.7532,2.7038,28.78K,0.84%
2/28/2011,2.7296,2.7662,2.768,2.7,14.14K,-0.36%
3/1/2011,2.9834,2.8944,3.0179,2.89,40.54K,9.30%
3/2/2011,3.0295,3.01,3.0477,2.9772,47.50K,1.55%
3/3/2011,3.0262,3.0269,3.03,2.98,41.27K,-0.11%
3/4/2011,3.0464,3.022,3.0541,3.022,34.95K,0.67%
3/7/2011,3.0039,3.0519,3.0936,2.9934,48.77K,-1.40%
3/8/2011,2.9467,2.995,3.0105,2.9323,44.05K,-1.90%
3/9/2011,3.0272,2.9475,3.0296,2.9338,42.91K,2.73%
3/10/2011,3.0196,3.0239,3.0485,2.9612,45.41K,-0.25%
3/11/2011,2.9877,3.0196,3.0316,2.9425,44.78K,-1.06%
3/14/2011,2.9603,2.988,2.999,2.9298,39.80K,-0.92%
3/15/2011,2.8029,2.9647,2.9647,2.7768,52.78K,-5.32%
3/16/2011,2.8437,2.8059,2.8814,2.773,38.92K,1.46%
3/17/2011,2.9506,2.8439,2.9663,2.815,34.51K,3.76%
3/18/2011,2.9494,2.9507,2.9975,2.9226,27.37K,-0.04%
3/21/2011,2.9974,2.9797,3.011,2.9797,27.59K,1.63%
3/22/2011,3.0045,2.9927,3.0226,2.9741,29.19K,0.24%
3/23/2011,3.0213,3.0189,3.035,2.9973,23.54K,0.56%
3/24/2011,3.0448,3.0202,3.0508,2.9909,22.79K,0.78%
3/25/2011,3.0445,3.0525,3.0617,3.035,18.55K,-0.01%
3/28/2011,3.0274,3.0575,3.058,3.0133,21.33K,-0.56%
3/29/2011,3.0458,3.028,3.0548,3.0107,21.34K,0.61%
3/30/2011,3.064,3.0444,3.0741,3.0377,21.60K,0.60%
3/31/2011,3.1076,3.065,3.125,3.065,11.10K,1.42%
4/1/2011,3.1513,3.1096,3.165,3.0983,52.14K,1.41%
4/4/2011,3.1688,3.1654,3.1758,3.1409,45.87K,0.56%
4/5/2011,3.2013,3.1603,3.2073,3.1463,48.04K,1.03%
4/6/2011,3.1929,3.1875,3.212,3.1691,51.21K,-0.26%
4/7/2011,3.1865,3.1888,3.1961,3.16,55.45K,-0.20%
4/8/2011,3.2607,3.1854,3.2715,3.179,54.19K,2.33%
4/11/2011,3.2005,3.264,3.2669,3.188,45.63K,-1.85%
4/12/2011,3.1641,3.2014,3.23,3.1309,53.48K,-1.14%
4/13/2011,3.2424,3.176,3.2477,3.1621,70.73K,2.47%
4/14/2011,3.2347,3.247,3.2679,3.21,56.67K,-0.24%
4/15/2011,3.2892,3.2445,3.2991,3.2331,44.13K,1.68%
4/18/2011,3.2528,3.293,3.2933,3.2333,35.96K,-1.11%
4/19/2011,3.2331,3.257,3.2591,3.1979,36.37K,-0.61%
4/20/2011,3.2773,3.2296,3.2816,3.2255,38.41K,1.37%
4/21/2011,3.3086,3.273,3.318,3.2643,38.11K,0.96%
4/25/2011,3.3229,3.3155,3.3416,3.2885,35.00K,0.43%
4/26/2011,3.3572,3.32,3.3739,3.3,36.52K,1.03%
4/27/2011,3.4194,3.3542,3.443,3.3473,31.07K,1.85%
4/28/2011,3.4298,3.4364,3.4762,3.3948,29.82K,0.30%
4/29/2011,3.4648,3.43,3.48,3.4201,,1.02%
5/2/2011,3.3479,3.4132,3.4155,3.31,52.02K,-3.37%
5/3/2011,3.3294,3.3293,3.3615,3.3074,61.52K,-0.55%
5/4/2011,3.3225,3.3174,3.3369,3.2771,74.61K,-0.21%
5/5/2011,3.0954,3.315,3.3352,3.06,89.75K,-6.84%
5/6/2011,3.0901,3.1032,3.1822,2.9856,85.29K,-0.17%
5/9/2011,3.2784,3.11,3.3071,3.1003,73.32K,6.09%
5/10/2011,3.3797,3.2955,3.3853,3.2593,92.43K,3.09%
5/11/2011,3.1228,3.3405,3.359,3.0771,100.71K,-7.60%
5/12/2011,3.0639,3.1172,3.1725,3.022,62.38K,-1.89%
5/13/2011,3.0744,3.0535,3.1388,3.0342,57.08K,0.34%
5/16/2011,2.9311,3.0771,3.081,2.9183,60.45K,-4.66%
5/17/2011,2.9193,2.9164,2.952,2.8428,61.76K,-0.40%
5/18/2011,2.9555,2.9311,2.9775,2.9276,48.89K,1.24%
5/19/2011,2.926,2.9445,3.0048,2.9057,36.81K,-1.00%
5/20/2011,2.9358,2.9075,2.9587,2.8563,33.54K,0.33%
5/23/2011,2.9381,2.94,2.9552,2.8661,35.48K,0.08%
5/24/2011,2.9928,2.9342,3.0256,2.9185,41.96K,1.86%
5/25/2011,3.0162,2.975,3.0294,2.9439,32.28K,0.78%
5/26/2011,3.0483,3.0285,3.0586,3.0127,28.03K,1.06%
5/27/2011,3.092,3.055,3.1005,3.0449,28.19K,1.43%
5/31/2011,3.1504,3.085,3.165,3.07,12.04K,1.89%
6/1/2011,2.9773,3.0475,3.0575,2.9685,61.92K,-5.49%
6/2/2011,2.9677,2.9715,3.0022,2.9249,63.02K,-0.32%
6/3/2011,2.9931,2.9836,3.0041,2.92,43.21K,0.86%
6/6/2011,2.9499,3.0089,3.0165,2.938,42.54K,-1.44%
6/7/2011,2.9919,2.9485,3.0022,2.9284,60.47K,1.42%
6/8/2011,2.9787,2.9943,3.0265,2.9623,56.91K,-0.44%
6/9/2011,3.0398,2.9725,3.0482,2.9697,50.49K,2.05%
6/10/2011,3.0177,3.0384,3.05,2.976,47.49K,-0.73%
6/13/2011,2.9968,3.0118,3.0518,2.9554,49.63K,-0.69%
6/14/2011,3.0646,3.0027,3.0679,2.9968,61.46K,2.26%
6/15/2011,2.9235,3.0708,3.0708,2.9101,60.02K,-4.60%
6/16/2011,2.9494,2.9524,2.9879,2.929,52.39K,0.89%
6/17/2011,2.946,2.9502,2.9525,2.8745,41.38K,-0.12%
6/20/2011,2.9115,2.9502,2.9512,2.9009,33.57K,-1.17%
6/21/2011,2.8826,2.9126,2.9384,2.8521,29.25K,-0.99%
6/22/2011,2.9733,2.8825,2.98,2.8825,38.24K,3.15%
6/23/2011,2.8376,2.9501,2.955,2.785,35.15K,-4.56%
6/24/2011,2.7766,2.8772,2.879,2.7567,24.88K,-2.15%
6/27/2011,2.8075,2.7807,2.822,2.7348,28.75K,1.11%
6/28/2011,2.8896,2.8226,2.8964,2.8051,22.42K,2.92%
6/29/2011,3.0097,2.8896,3.0131,2.8796,18.98K,4.16%
6/30/2011,3.0316,3.0052,3.0404,2.9823,10.07K,0.73%
7/1/2011,2.9726,2.9691,2.976,2.9112,43.76K,-1.95%
7/5/2011,2.9774,2.9685,3.0166,2.945,54.14K,0.16%
7/6/2011,2.9976,2.9774,3.0145,2.944,42.88K,0.68%
7/7/2011,3.127,3.0189,3.1295,3.0092,49.98K,4.32%
7/8/2011,3.0926,3.124,3.1293,3.07,50.89K,-1.10%
7/11/2011,3.0705,3.0958,3.1033,3.026,44.68K,-0.71%
7/12/2011,3.0982,3.067,3.0998,3.025,45.39K,0.90%
7/13/2011,3.1516,3.0874,3.175,3.0806,47.83K,1.72%
7/14/2011,3.1248,3.136,3.159,3.0936,44.13K,-0.85%
7/15/2011,3.1293,3.1239,3.1522,3.096,39.30K,0.14%
7/18/2011,3.0974,3.1425,3.1519,3.0485,47.29K,-1.02%
7/19/2011,3.1149,3.1035,3.1485,3.1006,39.20K,0.56%
7/20/2011,3.147,3.12,3.1489,3.1015,29.92K,1.03%
7/21/2011,3.0995,3.1456,3.1572,3.0895,30.16K,-1.51%
7/22/2011,3.1301,3.1093,3.14,3.0988,31.15K,0.99%
7/25/2011,3.1264,3.1287,3.1375,3.0902,31.08K,-0.12%
7/26/2011,3.1536,3.1274,3.17,3.0952,28.74K,0.87%
7/27/2011,3.1423,3.1581,3.1816,3.1355,27.91K,-0.36%
7/28/2011,3.1176,3.1435,3.1735,3.0926,27.76K,-0.79%
7/29/2011,3.1129,3.1175,3.124,3.0676,,-0.15%
8/1/2011,3.054,3.0644,3.145,3.0055,60.76K,-1.89%
8/2/2011,3.0373,3.0531,3.0924,3.0108,53.68K,-0.55%
8/3/2011,2.9313,3.0143,3.02,2.922,64.17K,-3.49%
8/4/2011,2.7372,2.9367,2.94,2.728,74.45K,-6.62%
8/5/2011,2.8052,2.745,2.8212,2.676,60.58K,2.48%
8/8/2011,2.6916,2.803,2.803,2.6681,56.55K,-4.05%
8/9/2011,2.6676,2.7048,2.7606,2.5854,58.27K,-0.89%
8/10/2011,2.7825,2.7375,2.7884,2.6834,69.57K,4.31%
8/11/2011,2.8273,2.7647,2.839,2.745,59.63K,1.61%
8/12/2011,2.8222,2.8225,2.8577,2.8072,36.28K,-0.18%
8/15/2011,2.8745,2.813,2.8762,2.813,33.55K,1.85%
8/16/2011,2.8538,2.8694,2.8751,2.8289,36.32K,-0.72%
8/17/2011,2.8703,2.8734,2.9268,2.8589,54.46K,0.58%
8/18/2011,2.7832,2.8752,2.8793,2.76,56.58K,-3.03%
8/19/2011,2.8412,2.7758,2.8688,2.7435,36.00K,2.08%
8/22/2011,2.8351,2.855,2.856,2.7647,25.35K,-0.21%
8/23/2011,2.8766,2.8321,2.899,2.8028,29.01K,1.46%
8/24/2011,2.8784,2.88,2.9106,2.854,31.90K,0.06%
8/25/2011,2.9679,2.88,2.9732,2.8795,35.13K,3.11%
8/26/2011,2.9346,2.963,2.9777,2.911,30.36K,-1.12%
8/29/2011,2.9064,2.927,2.9513,2.8765,18.44K,-0.96%
8/30/2011,2.9958,2.91,3.002,2.8975,22.60K,3.08%
8/31/2011,3.032,3.0021,3.0573,3.0021,7.61K,1.21%
9/1/2011,2.8927,2.8687,2.9186,2.852,46.33K,-4.59%
9/2/2011,2.8396,2.8875,2.899,2.7954,46.87K,-1.84%
9/6/2011,2.8226,2.8325,2.843,2.7702,56.16K,-0.60%
9/7/2011,2.908,2.827,2.9175,2.821,45.14K,3.03%
9/8/2011,2.8852,2.9131,2.9166,2.8643,46.74K,-0.78%
9/9/2011,2.771,2.8741,2.8925,2.7617,64.15K,-3.96%
9/12/2011,2.7382,2.7634,2.7767,2.7064,55.51K,-1.18%
9/13/2011,2.7424,2.7545,2.7645,2.7182,51.79K,0.15%
9/14/2011,2.7258,2.7344,2.746,2.6844,48.47K,-0.61%
9/15/2011,2.7828,2.724,2.8071,2.7155,48.10K,2.09%
9/16/2011,2.7841,2.779,2.8384,2.7781,47.68K,0.05%
9/19/2011,2.6965,2.7739,2.7824,2.6875,33.68K,-3.15%
9/20/2011,2.7014,2.7022,2.7345,2.6826,32.73K,0.18%
9/21/2011,2.6665,2.703,2.7373,2.64,37.35K,-1.29%
9/22/2011,2.56,2.64,2.647,2.5407,31.00K,-3.99%
9/23/2011,2.5547,2.565,2.6129,2.5355,30.45K,-0.21%
9/26/2011,2.5694,2.561,2.6,2.5137,35.60K,0.58%
9/27/2011,2.6955,2.5937,2.7055,2.5921,42.39K,4.91%
9/28/2011,2.6507,2.68,2.7063,2.644,34.09K,-1.66%
9/29/2011,2.6192,2.6402,2.6835,2.6168,19.26K,-1.19%
9/30/2011,2.626,2.66,2.6637,2.5769,7.23K,0.26%
10/3/2011,2.511,2.542,2.5446,2.4925,48.87K,-4.38%
10/4/2011,2.4884,2.5036,2.5528,2.4673,54.38K,-0.90%
10/5/2011,2.5692,2.5458,2.5814,2.5157,54.05K,3.25%
10/6/2011,2.686,2.5799,2.6917,2.5645,64.15K,4.55%
10/7/2011,2.6476,2.6774,2.6893,2.6113,56.55K,-1.43%
10/10/2011,2.6953,2.6526,2.7219,2.6497,48.39K,1.80%
10/11/2011,2.7476,2.7126,2.756,2.6685,56.16K,1.94%
10/12/2011,2.7487,2.7419,2.7713,2.7256,43.93K,0.04%
10/13/2011,2.7575,2.7431,2.7684,2.7066,43.22K,0.32%
10/14/2011,2.8247,2.7665,2.8404,2.7507,40.80K,2.44%
10/17/2011,2.7429,2.8365,2.8667,2.7342,46.24K,-2.90%
10/18/2011,2.7469,2.7415,2.769,2.6822,39.95K,0.15%
10/19/2011,2.6715,2.76,2.771,2.6676,42.66K,-2.74%
10/20/2011,2.6755,2.677,2.6962,2.6115,30.79K,0.15%
10/21/2011,2.6846,2.6775,2.7361,2.6567,28.45K,0.34%
10/24/2011,2.6888,2.687,2.7233,2.6749,26.31K,0.16%
10/25/2011,2.6998,2.68,2.712,2.6066,41.42K,0.41%
10/26/2011,2.6516,2.697,2.7168,2.6468,32.15K,-1.79%
10/27/2011,2.742,2.655,2.771,2.655,28.48K,3.41%
10/28/2011,2.6822,2.7352,2.7445,2.6739,19.49K,-2.18%
10/31/2011,2.6429,2.6859,2.69,2.6089,10.25K,-1.47%
11/1/2011,2.6244,2.6,2.6271,2.5336,50.36K,-0.70%
11/2/2011,2.6272,2.6126,2.6879,2.6049,66.88K,0.11%
11/3/2011,2.6418,2.6325,2.6543,2.59,53.36K,0.56%
11/4/2011,2.6634,2.645,2.6889,2.633,46.20K,0.82%
11/7/2011,2.7282,2.6731,2.7443,2.6606,51.75K,2.43%
11/8/2011,2.7064,2.7357,2.7585,2.6911,52.52K,-0.80%
11/9/2011,2.6442,2.721,2.732,2.6275,51.16K,-2.30%
11/10/2011,2.6368,2.6442,2.67,2.6005,57.86K,-0.28%
11/11/2011,2.6038,2.6265,2.659,2.5876,57.53K,-1.25%
11/14/2011,2.5353,2.6055,2.615,2.494,69.50K,-2.63%
11/15/2011,2.5857,2.5333,2.5985,2.5166,43.91K,1.99%
11/16/2011,2.6273,2.5902,2.6326,2.5615,49.29K,1.61%
11/17/2011,2.5071,2.6014,2.6195,2.497,46.31K,-4.58%
11/18/2011,2.4784,2.5002,2.5414,2.4549,35.47K,-1.14%
11/21/2011,2.489,2.4898,2.5064,2.4527,27.25K,0.43%
11/22/2011,2.5618,2.493,2.565,2.485,37.72K,2.92%
11/23/2011,2.5177,2.5313,2.545,2.497,27.80K,-1.72%
11/25/2011,2.4489,2.5163,2.5518,2.444,10.63K,-2.73%
11/28/2011,2.5181,2.4761,2.5471,2.4702,30.39K,2.83%
11/29/2011,2.5391,2.5075,2.5645,2.505,28.82K,0.83%
11/30/2011,2.5677,2.5464,2.5915,2.529,9.12K,1.13%
12/1/2011,2.5579,2.56,2.6186,2.5264,45.26K,-0.38%
12/2/2011,2.6162,2.6044,2.65,2.5823,54.34K,2.28%
12/5/2011,2.6137,2.6313,2.6777,2.598,42.82K,-0.10%
12/6/2011,2.6454,2.6031,2.6486,2.5942,42.59K,1.21%
12/7/2011,2.5869,2.636,2.6496,2.5815,55.93K,-2.21%
12/8/2011,2.5666,2.5961,2.6184,2.5496,45.50K,-0.78%
12/9/2011,2.5961,2.5595,2.6131,2.5476,47.26K,1.15%
12/12/2011,2.5636,2.5995,2.6152,2.56,39.74K,-1.25%
12/13/2011,2.6254,2.5645,2.6754,2.5645,47.71K,2.41%
12/14/2011,2.5037,2.63,2.6312,2.488,51.49K,-4.64%
12/15/2011,2.4877,2.5035,2.5479,2.4844,35.87K,-0.64%
12/16/2011,2.487,2.4887,2.5274,2.4732,41.19K,-0.03%
12/19/2011,2.4891,2.494,2.528,2.4765,25.56K,0.08%
12/20/2011,2.5787,2.5017,2.5862,2.4965,30.03K,3.60%
12/21/2011,2.6199,2.6199,2.6266,2.5664,27.70K,1.60%
12/22/2011,2.6398,2.6202,2.6506,2.6098,25.39K,0.76%
12/23/2011,2.6872,2.6398,2.7008,2.6307,19.06K,1.80%
12/27/2011,2.6888,2.69,2.7151,2.6725,16.52K,0.06%
12/28/2011,2.6513,2.6815,2.6912,2.6388,20.45K,-1.39%
12/29/2011,2.6801,2.6497,2.6815,2.6365,24.76K,1.09%
12/30/2011,2.6863,2.6808,2.7189,2.6486,,0.23%
1/3/2012,2.7486,2.6647,2.759,2.6647,43.59K,2.32%
1/4/2012,2.7852,2.7565,2.7891,2.7283,52.34K,1.33%
1/5/2012,2.7365,2.7786,2.797,2.73,48.71K,-1.75%
1/6/2012,2.7516,2.7365,2.7656,2.7209,43.35K,0.55%
1/9/2012,2.759,2.7691,2.774,2.742,44.93K,0.27%
1/10/2012,2.7728,2.7558,2.7981,2.7533,42.07K,0.50%
1/11/2012,2.7633,2.786,2.7938,2.7328,46.23K,-0.34%
1/12/2012,2.7313,2.7702,2.8245,2.7178,46.12K,-1.16%
1/13/2012,2.7342,2.74,2.7679,2.7192,62.30K,0.11%
1/17/2012,2.7713,2.7488,2.7713,2.7396,47.52K,1.36%
1/18/2012,2.8254,2.779,2.8529,2.7676,56.62K,1.95%
1/19/2012,2.8158,2.8291,2.8398,2.7918,39.41K,-0.34%
1/20/2012,2.7844,2.8215,2.83,2.7627,27.90K,-1.12%
1/23/2012,2.7779,2.78,2.8142,2.7731,20.95K,-0.23%
1/24/2012,2.805,2.7831,2.8166,2.7613,28.47K,0.98%
1/25/2012,2.8338,2.8161,2.8597,2.794,29.75K,1.03%
1/26/2012,2.8466,2.8465,2.8649,2.8317,21.30K,0.45%
1/27/2012,2.9268,2.8474,2.9677,2.8379,33.48K,2.82%
1/30/2012,2.8707,2.9209,2.9209,2.85,23.97K,-1.92%
1/31/2012,2.8874,2.8876,2.9069,2.8749,7.15K,0.58%
2/1/2012,2.8922,2.8973,2.9487,2.8823,63.04K,0.17%
2/2/2012,2.8689,2.8919,2.8986,2.841,58.57K,-0.81%
2/3/2012,2.9144,2.8814,2.9259,2.8718,47.29K,1.59%
2/6/2012,2.9279,2.915,2.9438,2.8908,38.40K,0.46%
2/7/2012,2.9275,2.9416,2.9541,2.9172,56.16K,-0.01%
2/8/2012,2.9752,2.9241,2.9896,2.9181,53.30K,1.63%
2/9/2012,3.0128,2.9857,3.0162,2.976,50.55K,1.26%
2/10/2012,2.9749,3.0115,3.015,2.9607,57.09K,-1.26%
2/13/2012,3.0125,2.988,3.022,2.988,53.95K,1.26%
2/14/2012,2.9825,3.0096,3.0183,2.9733,59.74K,-1.00%
2/15/2012,3.0067,2.9901,3.0366,2.9839,56.74K,0.81%
2/16/2012,3.0471,3.0067,3.0514,2.9867,48.22K,1.34%
2/17/2012,3.0156,3.04,3.0525,3.0021,38.01K,-1.03%
2/21/2012,3.0702,3.0439,3.0858,3.0216,30.19K,1.81%
2/22/2012,3.0877,3.0648,3.1043,3.0465,36.32K,0.57%
2/23/2012,3.1136,3.089,3.1255,3.07,24.52K,0.84%
2/24/2012,3.1528,3.122,3.1548,3.1046,21.43K,1.26%
2/27/2012,3.1283,3.144,3.1531,3.0974,23.54K,-0.78%
2/28/2012,3.0401,3.1178,3.1196,3.0349,22.45K,-2.82%
2/29/2012,3.0423,3.0394,3.076,3.024,5.94K,0.07%
3/1/2012,3.3517,3.2641,3.3868,3.255,66.06K,10.17%
3/2/2012,3.2721,3.32,3.3342,3.265,50.04K,-2.37%
3/5/2012,3.258,3.2781,3.2936,3.2475,43.64K,-0.43%
3/6/2012,3.2299,3.2634,3.2705,3.2138,49.56K,-0.86%
3/7/2012,3.2874,3.245,3.2945,3.2381,58.47K,1.78%
3/8/2012,3.314,3.2881,3.3295,3.2828,51.84K,0.81%
3/9/2012,3.3324,3.31,3.3407,3.2961,51.09K,0.56%
3/12/2012,3.323,3.3346,3.3378,3.2969,34.65K,-0.28%
3/13/2012,3.3546,3.33,3.3704,3.3224,48.63K,0.95%
3/14/2012,3.347,3.363,3.3809,3.3326,52.06K,-0.23%
3/15/2012,3.2885,3.3456,3.3498,3.2563,52.90K,-1.75%
3/16/2012,3.3569,3.2881,3.366,3.2839,53.74K,2.08%
3/19/2012,3.3678,3.3582,3.3846,3.346,40.37K,0.32%
3/20/2012,3.3631,3.36,3.3683,3.3187,50.40K,-0.14%
3/21/2012,3.3571,3.362,3.3738,3.341,32.36K,-0.18%
3/22/2012,3.3396,3.3542,3.3569,3.2953,38.15K,-0.52%
3/23/2012,3.3852,3.3475,3.4248,3.3398,37.51K,1.37%
3/26/2012,3.4166,3.3852,3.4183,3.376,33.18K,0.93%
3/27/2012,3.4056,3.4161,3.4189,3.387,28.10K,-0.32%
3/28/2012,3.3955,3.387,3.4054,3.3439,39.94K,-0.30%
3/29/2012,3.4006,3.4064,3.4455,3.3726,31.04K,0.15%
3/30/2012,3.3899,3.405,3.4412,3.38,,-0.31%
4/2/2012,3.3822,3.3225,3.3919,3.2776,76.26K,-0.23%
4/3/2012,3.3954,3.3801,3.4278,3.3659,72.41K,0.39%
4/4/2012,3.3336,3.4017,3.4113,3.3049,84.92K,-1.82%
4/5/2012,3.3405,3.3334,3.346,3.2945,58.69K,0.21%
4/9/2012,3.2967,3.334,3.334,3.2555,54.76K,-1.31%
4/10/2012,3.2496,3.2963,3.3011,3.235,69.63K,-1.43%
4/11/2012,3.2955,3.235,3.2995,3.2317,73.56K,1.41%
4/12/2012,3.3567,3.2935,3.3629,3.282,55.05K,1.86%
4/13/2012,3.3461,3.3575,3.3774,3.32,69.08K,-0.32%
4/16/2012,3.267,3.3448,3.3502,3.2615,71.00K,-2.36%
4/17/2012,3.234,3.2695,3.2766,3.2166,60.93K,-1.01%
4/18/2012,3.2027,3.2274,3.2309,3.1411,74.53K,-0.97%
4/19/2012,3.1541,3.2091,3.2275,3.135,54.31K,-1.52%
4/20/2012,3.1427,3.1615,3.182,3.1387,41.79K,-0.36%
4/23/2012,3.1873,3.1435,3.1888,3.1052,44.79K,1.42%
4/24/2012,3.1593,3.1838,3.1863,3.14,41.37K,-0.88%
4/25/2012,3.1557,3.164,3.1746,3.1107,36.89K,-0.11%
4/26/2012,3.1833,3.1512,3.1872,3.1464,29.94K,0.87%
4/27/2012,3.2062,3.179,3.21,3.1694,37.44K,0.72%
4/30/2012,3.1844,3.2057,3.2103,3.1688,11.58K,-0.68%
5/1/2012,3.0971,3.1094,3.1234,3.0745,61.56K,-2.74%
5/2/2012,3.0757,3.1035,3.1097,3.06,57.39K,-0.69%
5/3/2012,3.05,3.0773,3.0983,3.045,61.40K,-0.84%
5/4/2012,2.9758,3.05,3.0525,2.9407,71.65K,-2.43%
5/7/2012,2.9741,2.9755,2.9872,2.9102,46.63K,-0.06%
5/8/2012,2.9944,2.9833,3.0175,2.9352,61.65K,0.68%
5/9/2012,3.0241,3.0156,3.0258,2.974,83.46K,0.99%
5/10/2012,3.0102,3.0188,3.0249,2.9915,65.03K,-0.46%
5/11/2012,3.0008,2.9976,3.0131,2.9759,50.28K,-0.31%
5/14/2012,2.959,2.998,3.0037,2.9432,62.27K,-1.39%
5/15/2012,2.9441,2.9455,2.9766,2.9223,55.47K,-0.50%
5/16/2012,2.9209,2.94,2.9551,2.9058,49.94K,-0.79%
5/17/2012,2.8782,2.9108,2.9303,2.8668,54.61K,-1.46%
5/18/2012,2.8895,2.8772,2.9082,2.858,45.99K,0.39%
5/21/2012,2.9401,2.882,2.948,2.882,38.82K,1.75%
5/22/2012,2.937,2.9432,2.9589,2.9219,39.80K,-0.11%
5/23/2012,2.8723,2.9457,2.9465,2.8661,48.62K,-2.20%
5/24/2012,2.8765,2.8886,2.8947,2.8538,43.86K,0.15%
5/25/2012,2.8929,2.8822,2.902,2.867,40.98K,0.57%
5/29/2012,2.9065,2.8986,2.94,2.8903,31.79K,0.47%
5/30/2012,2.8582,2.9158,2.9158,2.8368,32.55K,-1.66%
