date,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
2025-06-01,772.3000000000001,0.008151807078334973,0.0009019248134267994,0.0007552,97966047
2025-06-02,833.5815920499999,0.009870595917459583,0.0009374312147669452,0.0007606500000000001,101223595
2025-06-03,426.28039112125003,0.010485106816425541,0.0009621623647713225,0.00077455,100505925
2025-06-04,311.88077969999995,0.008781272573271083,0.0009174383728327875,0.00076705,97076513
2025-06-05,184.63273837414002,0.012148929166084245,0.0009220275057292157,0.00070985,105987877
2025-06-06,447.48074579999997,0.009174105374074338,0.0008658125041851322,0.0007229500000000001,100766742
2025-06-07,251.26267673232,0.007428103332113529,0.0008927911646310764,0.0007371500000000001,90716831
2025-06-08,3002.4007506000003,0.007616465327837504,0.0009196467442124626,0.00074145,86677450
2025-06-09,308.57314720964996,0.010409336853591817,0.0009458112174662883,0.0007502500000000002,93742849
2025-06-10,316.38079094999995,0.010507848474397608,0.0009720683056728191,0.00078375,95537479
2025-06-11,333.8774959,0.010635749862738731,0.0009644365699227133,0.0007978000000000001,99476163
2025-06-12,413.998,0.008865052914217108,0.0009211604412407136,0.0007618500000000001,100234467
2025-06-13,1474.3732615825502,0.00791368782679584,0.0008173332519262454,0.00070785,102392631
2025-06-14,337.37768644999994,0.006516022581792223,0.000812499399487666,0.0007130500000000001,91948254
2025-06-15,305.7207643,0.006829779416166606,0.0008214958628970608,0.0007229000000000002,90961169
2025-06-16,944.52069453704,0.009782857451734146,0.0009098462374802517,0.0007575,106922787
2025-06-17,1035.79071587886,0.007580256763295733,0.0008334062272042649,0.00073015,99271925
2025-06-18,1587.52079996576,0.008071125355473338,0.0008408191767280456,0.0007206500000000001,98856759
2025-06-19,483.81464790533005,0.007971932761908425,0.0008082625365069889,0.0007159000000000001,100327442
2025-06-20,248.132,0.006981302704033777,0.0007955742771166278,0.0006835500000000001,100645556
2025-06-21,206.72426987999998,0.0061440304483178654,0.0007830121739731187,0.0006652,102836391
2025-06-22,216.51335319999998,0.006174387142975403,0.0007802001271471295,0.00063455,95405358
2025-06-23,331.59734719999994,0.007156731538615327,0.0008140036406482872,0.0006569000000000001,97343464
2025-06-24,2735.2400000000002,0.007743851377864895,0.0008435640927992979,0.0007131,101580010
2025-06-25,1022.0707301960099,0.008927191851882498,0.0008463987914348771,0.0007142000000000001,111184889
2025-06-26,145.73,0.007786964712514195,0.0008238636445932108,0.0006950000000000001,110816987
2025-06-27,150.61271720000002,0.008202961546735131,0.0008017366168486147,0.00068945,107506683
2025-06-28,222.78337165116,0.008153427106834978,0.0008133792435412971,0.0007069,94088808
2025-06-29,301.3207533,0.007439428487238644,0.0008579186380609787,0.0007481000000000001,88458868
2025-06-30,503.2967864,0.009875023211322262,0.0009117609561146243,0.0007489,104647802
2025-07-01,310.800784696,0.008646192771935112,0.0008685704697436641,0.0007260500000000001,109257916
2025-07-02,411.5301962015,0.009624618247646476,0.0009012601247366522,0.0007331000000000001,111964329
2025-07-03,1655.3995976,0.009720372399765012,0.0008918303285424445,0.0007509000000000001,111487572
2025-07-04,848.9070529984001,0.008265966459008867,0.0008840961926100112,0.0007276000000000001,99298308
2025-07-05,1171.200732,0.009619489339385157,0.0009403677597751756,0.00073085,104271455
2025-07-06,727.3951379449799,0.008902047432128102,0.0009629320390504649,0.0007353500000000001,116607464
2025-07-07,2576.3507577500004,0.010390530836949295,0.0009714841613598429,0.0007389,115086333
2025-07-08,2595.3741864828003,0.010070219590410842,0.0009303200170581148,0.0007399500000000001,113431701
2025-07-09,233.29655530000002,0.009147162499289424,0.0008790393146289705,0.0007537000000000002,113006010
2025-07-10,246.765,0.01068158372994344,0.0009531473806762101,0.0007796500000000001,113733972
2025-07-11,323.85144,0.009357017936213777,0.0009215852826347267,0.0008001500000000001,117251686
2025-07-12,956.2668987259401,0.007796867691350339,0.0008843091543313822,0.0007889,107439531
2025-07-13,168.7875,0.007455862884902622,0.0009022064972309116,0.00079835,108540852
2025-07-14,245.20499999999998,0.01110313148433057,0.0009654946173639773,0.0008030500000000001,116058009
2025-07-15,322.02,0.01141350838551994,0.0009932626909427986,0.0007885500000000001,115722043
2025-07-16,437.61795157428,0.014120671955203872,0.0010927089310196318,0.000808,117267054
2025-07-17,1380.96,0.01360846730973543,0.001123836926084896,0.0008443000000000001,121331322
2025-07-18,2677.05,0.014286906051643544,0.0012447841718153559,0.0008671500000000001,119094647
2025-07-19,1950.08096670784,0.00925826677463747,0.0010647906067399794,0.0008713500000000001,101914226
2025-07-20,2711.072,0.009784646881817604,0.0011085268649408523,0.0008823500000000001,108416828
2025-07-21,642.2543117466299,0.012165005813304387,0.0011051691251795052,0.0008920000000000001,117778303
2025-07-22,1014.4010553817599,0.01266067148789467,0.0010914636086304056,0.0009716500000000001,125954764
2025-07-23,1242.68158966464,0.011405971269754315,0.0011146955715888333,0.00092475,119036239
2025-07-24,644.4559206499999,0.011394012719124097,0.001072678147228145,0.0009003,124625221
