rank,name,slug,url,skynet_score,price_usd,market_cap,trading_volume,tvl_usd,governance_score,security_incident_count,is_exit_scam,has_3rd_party_audit,audit_count,platforms
572,Sashimi,sashimi,https://skynet.certik.com/projects/sashimi,"{'rank': 8717, 'percentile': 0.4719428133775849, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.98, 'scoreCodeSecurity': 47.96, 'scoreCommunity': 43.32, 'scoreFundamental': 49.43, 'scoreGovernance': 70.48, 'scoreMarket': 76.06, 'scoreOperation': 73.06}",,52614,2.16,,,,,False,0,Ethereum
573,Ignitechain,ignitechain,https://skynet.certik.com/projects/ignitechain,"{'rank': 8725, 'percentile': 0.4727597651263722, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.96, 'scoreCodeSecurity': 75.1, 'scoreCommunity': 55, 'scoreFundamental': 49.72, 'scoreGovernance': 55.36, 'scoreMarket': None, 'scoreOperation': 66.7}",,,,,,,,False,1,BSC
574,Tigris,tigris,https://skynet.certik.com/projects/tigris,"{'rank': 8731, 'percentile': 0.4727597651263722, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.96, 'scoreCodeSecurity': 65.52, 'scoreCommunity': 53.87, 'scoreFundamental': 49.13, 'scoreGovernance': 50, 'scoreMarket': 73.63, 'scoreOperation': 55.5}",,,,,,,,True,1,Arbitrum
575,Wrapped BESC,wrapped-besc,https://skynet.certik.com/projects/wrapped-besc,"{'rank': 8732, 'percentile': 0.4727597651263722, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.96, 'scoreCodeSecurity': 49.37, 'scoreCommunity': 53.82, 'scoreFundamental': 49.28, 'scoreGovernance': 57.21, 'scoreMarket': 77.66, 'scoreOperation': 68.3}",0.8975918582285741,,12171.197265625,,,,,False,0,BSC
576,OolongSwap,oolongswap,https://skynet.certik.com/projects/oolongswap,"{'rank': 8755, 'percentile': 0.47413837120245084, 'includedCategories': ['code', 'community', 'operation', 'fundamental'], 'score': 60.91, 'scoreCodeSecurity': 73.39, 'scoreCommunity': 56.27, 'scoreFundamental': 49.06, 'scoreGovernance': None, 'scoreMarket': None, 'scoreOperation': 64.3}",,,,,,,,False,1,
577,Varen,varen,https://skynet.certik.com/projects/varen,"{'rank': 8764, 'percentile': 0.47454684707684447, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.9, 'scoreCodeSecurity': 58.75, 'scoreCommunity': 54.96, 'scoreFundamental': 49.93, 'scoreGovernance': 65.7, 'scoreMarket': 70.48, 'scoreOperation': 59.58}",,,,,,,,False,0,Ethereum
578,Charge DeFi,chargedefi,https://skynet.certik.com/projects/chargedefi,"{'rank': 8769, 'percentile': 0.47515956088843503, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.88, 'scoreCodeSecurity': 76.63, 'scoreCommunity': 47.03, 'scoreFundamental': 49.56, 'scoreGovernance': 60.08, 'scoreMarket': None, 'scoreOperation': 66.7}",,,29.032217025756836,,,,,False,2,BSC
579,Sat.is,sat-is,https://skynet.certik.com/projects/sat-is,"{'rank': 8774, 'percentile': 0.47515956088843503, 'includedCategories': ['code', 'community', 'operation', 'fundamental'], 'score': 60.88, 'scoreCodeSecurity': 81.33, 'scoreCommunity': 51.72, 'scoreFundamental': 49.7, 'scoreGovernance': None, 'scoreMarket': None, 'scoreOperation': 51.5}",,,,,,,,False,1,Arbitrum|Avalanche|Optimism|Polygon|Ethereum
580,NeoCortexAI,neocortexai,https://skynet.certik.com/projects/neocortexai,"{'rank': 8778, 'percentile': 0.47536379882563184, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.87, 'scoreCodeSecurity': 69.96, 'scoreCommunity': 63.26, 'scoreFundamental': 49.35, 'scoreGovernance': 55.93, 'scoreMarket': None, 'scoreOperation': 68.3}",,,,,,,,True,2,
581,Agile Finance,agile-finance,https://skynet.certik.com/projects/agile-finance,"{'rank': 8780, 'percentile': 0.4757212152157263, 'includedCategories': ['code', 'community', 'operation', 'fundamental'], 'score': 60.86, 'scoreCodeSecurity': 73.11, 'scoreCommunity': 55, 'scoreFundamental': 49.83, 'scoreGovernance': None, 'scoreMarket': None, 'scoreOperation': 64.3}",,,,,,,,False,1,
582,ChilliSwap,chilliswap,https://skynet.certik.com/projects/chilliswap,"{'rank': 8835, 'percentile': 0.47904008169517487, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.75, 'scoreCodeSecurity': 69.78, 'scoreCommunity': 54.35, 'scoreFundamental': 49.46, 'scoreGovernance': 60.03, 'scoreMarket': None, 'scoreOperation': 72.38}",0.04605257862263111,,0,,,,,False,1,
583,Fortuneum,fortuneum,https://skynet.certik.com/projects/fortuneum,"{'rank': 8837, 'percentile': 0.47904008169517487, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.75, 'scoreCodeSecurity': 75.77, 'scoreCommunity': 55, 'scoreFundamental': 49.15, 'scoreGovernance': 52.09, 'scoreMarket': None, 'scoreOperation': 68.3}",,,,,,,,False,1,BSC
584,Psyop,psyop,https://skynet.certik.com/projects/psyop,"{'rank': 8842, 'percentile': 0.47904008169517487, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.75, 'scoreCodeSecurity': 50.09, 'scoreCommunity': 51.62, 'scoreFundamental': 49.78, 'scoreGovernance': 78.57, 'scoreMarket': 68.16, 'scoreOperation': 73.06}",1.0148358698563528e-05,,0,,,,,False,0,Ethereum
585,ELF Wallet,elf-wallet,https://skynet.certik.com/projects/elf-wallet,"{'rank': 8860, 'percentile': 0.4801633903497574, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.72, 'scoreCodeSecurity': 59.93, 'scoreCommunity': 58.3, 'scoreFundamental': 49.54, 'scoreGovernance': 79.57, 'scoreMarket': 61.23, 'scoreOperation': 66.7}",4.1886189447998696e-05,,300.08832801290555,,,,,False,0,BSC
586,Golden Doge,golden-doge,https://skynet.certik.com/projects/golden-doge,"{'rank': 8863, 'percentile': 0.480520806739852, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.71, 'scoreCodeSecurity': 47.75, 'scoreCommunity': 43.32, 'scoreFundamental': 49.84, 'scoreGovernance': 73.96, 'scoreMarket': 75.45, 'scoreOperation': 68.3}",,55155,1.12,,,,,False,0,BSC
